"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","9","","api_test","TestCase","","","test1[tc48]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","76","","api_test","TestCase","","","test1[tc23]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","11","","api_test","TestCase","","","test1[tc46]",""
"passed","Thu Feb 10 00:04:03 CST 2022","Thu Feb 10 00:04:04 CST 2022","87","","api_test","TestCase","","","test1[tc3]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:05 CST 2022","857","","api_test","TestCase","","","test1[tc24]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","56","","api_test","TestCase","","","test1[tc36]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","25","","api_test","TestCase","","","test1[tc38]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","14","","api_test","TestCase","","","test1[tc18]",""
"failed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","13","","api_test","TestCase","","","test1[tc21]",""
"passed","Thu Feb 10 00:04:03 CST 2022","Thu Feb 10 00:04:03 CST 2022","7","","api_test","TestCase","","","test1[tc1]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","14","","api_test","TestCase","","","test1[tc32]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","66","","api_test","TestCase","","","test1[tc16]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","17","","api_test","TestCase","","","test1[tc4]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","13","","api_test","TestCase","","","test1[tc5]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","21","","api_test","TestCase","","","test1[tc33]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","13","","api_test","TestCase","","","test1[tc12]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","11","","api_test","TestCase","","","test1[tc55]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","72","","api_test","TestCase","","","test1[tc43]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","66","","api_test","TestCase","","","test1[tc34]",""
"passed","Thu Feb 10 00:04:03 CST 2022","Thu Feb 10 00:04:03 CST 2022","13","","api_test","TestCase","","","test1[tc0]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","11","","api_test","TestCase","","","test1[tc44]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","15","","api_test","TestCase","","","test1[tc14]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","14","","api_test","TestCase","","","test1[tc22]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","12","","api_test","TestCase","","","test1[tc56]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","48","","api_test","TestCase","","","test1[tc31]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","10","","api_test","TestCase","","","test1[tc8]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","11","","api_test","TestCase","","","test1[tc37]",""
